"Journal No.","Conditions of Sale","ISSN","Journal Title","Remarks","Vol.     
Nos","Total no. of Vols","Issues P/A","Rest of World - USD","USA - USD","Canada - USD","Mexico - USD","Subject Area         "
10029,"Jena","1434-8411","AEU - International Journal of Electronics and Communications",,"64",1,12,"1315",,,,"Engineering, Energy and Technology"
13170,"Orlando, FL","0196-6553","AJIC -- American Journal of Infection Control",,"38",1,10,"597",538,,,"Nursing"
15851,"Oxford","1875-0672","ALTER. European Journal of Disability research, Journal europeen de recherche sur le handicap",,"4",1,4,"195",,,,"Medicine"
14032,"Orlando, FL","0001-2092","AORN Journal",,"91-92",2,12,"354",299,,,"Nursing"
02280,"Oxford","1523-388X","Abstract Bulletin of Paper Science and Technology",,"80",1,12,"2630",,,,"Chemistry and Chemical Engineering"
07802,"Orlando, FL","1876-2859","Academic Pediatrics",,"10",1,6,"382",303,,,"Medicine"
13351,"Orlando, FL","1076-6332","Academic Radiology",,"17",1,12,"412",380,,,"Medicine"
00336,"Oxford","0001-4575","Accident Analysis & Prevention",,"42",1,6,"1985",,,,"Social and Behavioral Sciences"
04069,"Oxford","0155-9982","Accounting Forum",,"34",1,4,"351",,,,"Economics, Business and Management"
00486,"Oxford","0361-3682","Accounting, Organizations and Society",,"35",1,8,"2265",,,,"Economics, Business and Management"
08659,"Oxford","1875-4597","Acta Anaesthesiologica Taiwanica","New","48",1,4,"264",,,,"Medicine"
00310,"Oxford","0094-5765","Acta Astronautica",,"66-67",2,24,"4776",,,,"Engineering, Energy and Technology"
05605,"Oxford","1874-1029","Acta Automatica Sinica",,"36",1,12,,,,,"Life Sciences"
04067,"Oxford","1742-7061","Acta Biomaterialia",,"6",1,12,"974",,,,"Materials Science"
08574,"Oxford","1872-2032","Acta Ecologica Sinica",,"30",1,6,,,,,"Environmental Sciences"
10000,"Jena","0065-1281","Acta Histochemica",,"112",1,6,"909",,,,"Medicine"
00221,"Oxford","1359-6454","Acta Materialia",,"58",1,20,"3911",,,,"Materials Science"
05601,"Oxford","0252-9602","Acta Mathematica Scientia",,"30",1,6,"862",,,,"Mathematics"
05618,"Oxford","0894-9166","Acta Mechanica Solida Sinica",,"23",1,6,,,,,"Engineering, Energy and Technology"
09000,"Oxford","1146-609X","Acta Oecologica",,"36",1,6,"573",,,,"Environmental Sciences"
15720,"Oxford","0001-6519","Acta Otorrinolaringologica Espanola",,"61",1,10,,,,,"Multidiscipline"
05251,"Oxford","0001-6918","Acta Psychologica
Reduced personal subscriptions are available to members of the Nederlandse Vereniging voor Ergonomie, Nederlandse Vereniging voor Psychonomie, American Psychological Association, Association for Psychological Science, Belgian Federation of Psychologists, Cognitive Science Society, The European Society for Cognitive Psychology, The Psychonomic Society, Cognitive Neuroscience Society and The International Neuropsychological Society. Please contact your nearest regional sales office for details.",,"133-135",3,9,"1272",,,,"Social and Behavioral Sciences"
05083,"Oxford","0001-706X","Acta Tropica",,"113-116",4,12,"2188",,,,"Life Sciences"
15717,"Oxford","0001-7310","Actas Dermo-Sifiliograficas",,"101",1,10,,,,,"Medicine"
,"Oxford","1138-0322","Actividad Dietetica",,"13",1,4,,,,,"Multidiscipline"
