"Sortierfeld_Title","Title","Format","Title No.","Title No Electronic Journal version","Title No. Print Incl. ""Enhanced Access""","ISSN print","ISSN electronic","Publisher","Language","Vols Qty","Scheduled Vol Nos","Issues per vol","Currency","Institutional Rate Print incl. Free Access or E-Only","Currency","Institutional Rate incl. Enhanced Access","Price for Postage & Handling","Status","Comments","Dispatch included"
"3D Research","3D Research","E",13319,"13319E","13319N",,"2092-6731","3D Display Research Center, Kwangwoon University","E",1,1,4,"USD",320,,,,"New in 2010","New Start co-publication in 2010. Addendum Journals Price List. Exclusive distribution rights for electronic version worldwide. Only available in electronic format. ",
"AAPS Journal","The AAPS Journal","E OF",12248,"12248E","12248N",,"1550-7416","Springer US","E",1,12,4,"USD",457,,,,,"Only available in electronic format. ",
"AAPS PharmSciTech","AAPS PharmSciTech","E OF",12249,"12249E","12249N",,"1530-9932","Springer US","E",1,11,4,"USD",457,,,,,"Only available in electronic format. ",
"Abdominal Imaging","Abdominal Imaging","P E OF",261,"261E","261N","0942-8925","1432-0509","Springer New York","E",1,35,6,"USD",902,"USD",1082.4,42,,"More content! ",
"Abhandlungen Mathematischen Seminar der Universität Hamburg","Abhandlungen aus dem Mathematischen Seminar der Universität Hamburg","P E OF",12188,"12188E","12188N","0025-5858","1865-8784","Springer Berlin Heidelberg","E",1,80,2,"USD",282,"USD",338.4,14,,,
"Academic Questions","Academic Questions","P E OF",12129,"12129E","12129N","0895-4852","1936-4709","Springer US","E",1,23,4,"USD",409,"USD",490.8,40,,"More content! ",
"Accreditation","Accreditation and Quality Assurance","P E OF S",769,"769E","769N","0949-1775","1432-0517","Springer Berlin Heidelberg","E",1,15,12,"USD",556,"USD",667.2,120,,,
"Acoustical Physics","Acoustical Physics","P E",11441,"11441E","11441N","1063-7710","1562-6865","MAIK Nauka/Interperiodica","E",1,56,6,"USD",3017,"USD",3620.4,42,,"Russian Library of Science, print and electronic version distributed exclusively worldwide. ",
"Acta Analytica","Acta Analytica","P E OF",12136,"12136E","12136N","0353-5150","1874-6349","Springer Netherlands","E",1,25,4,"USD",326,"USD",391.2,40,,,
"Acta Applicandae Mathematica","Acta Applicandae Mathematicae","P E OF",10440,"10440E","10440N","0167-8019","1572-9036","Springer Netherlands","E",4,"109-112",3,"USD",2119,"USD",2542.8,84,,,
"Acta Biotheoretica","Acta Biotheoretica","P E OF",10441,"10441E","10441N","0001-5342","1572-8358","Springer Netherlands","E",1,58,4,"USD",479,"USD",574.8,28,,,
"Acta Diabetologica","Acta Diabetologica","P E OF",592,"592E","592N","0940-5429","1432-5233","Springer Milan","E",1,47,4,"USD",653,"USD",783.6,40,,,
