"Journal Name ","Edition","ISSN","Price Group","Volume From","Volume To","Issues Per Volume","Currency","2010 Rate"
"Accountability in Research","GACRHI","0898-9621","Institutional",17,17,6,"EUR",921
"Accountability in Research","GACRHI","0898-9621","Institutional",17,17,6,"GBP - UK",862
"Accountability in Research","GACRHI","0898-9621","Institutional",17,17,6,"USD","1,151.00"
"Accountability in Research","GACRI","1545-5815","Institutional",17,17,6,"EUR",876
"Accountability in Research","GACRI","1545-5815","Institutional",17,17,6,"GBP - UK",819
"Accountability in Research","GACRI","1545-5815","Institutional",17,17,6,"USD","1,093.00"
"Accounting Business and Financial History","RABFHI","0958-5206","Institutional",20,20,3,"EUR",480
"Accounting Business and Financial History","RABFHI","0958-5206","Institutional",20,20,3,"GBP - UK",364
"Accounting Business and Financial History","RABFHI","0958-5206","Institutional",20,20,3,"USD",604
"Accounting Business and Financial History","RABFI","1466-4275","Institutional",20,20,3,"EUR",456
"Accounting Business and Financial History","RABFI","1466-4275","Institutional",20,20,3,"GBP - UK",346
"Accounting Business and Financial History","RABFI","1466-4275","Institutional",20,20,3,"USD",574
"Accounting Education","RAEDHI","0963-9284","Institutional",19,19,6,"EUR","1,072.00"
"Accounting Education","RAEDHI","0963-9284","Institutional",19,19,6,"GBP - UK",822
"Accounting Education","RAEDHI","0963-9284","Institutional",19,19,6,"USD","1,339.00"
"Accounting Education","RAEDI","1468-4489","Institutional",19,19,6,"EUR","1,018.00"
"Accounting Education","RAEDI","1468-4489","Institutional",19,19,6,"GBP - UK",781
"Accounting Education","RAEDI","1468-4489","Institutional",19,19,6,"USD","1,272.00"
"Accounting in Europe","RAIEHI","1744-9480","Institutional",7,7,2,"EUR",146
"Accounting in Europe","RAIEHI","1744-9480","Institutional",7,7,2,"GBP - UK",111
"Accounting in Europe","RAIEHI","1744-9480","Institutional",7,7,2,"USD",183
"Accounting in Europe","RAIEI","1744-9499","Institutional",7,7,2,"EUR",139
"Accounting in Europe","RAIEI","1744-9499","Institutional",7,7,2,"GBP - UK",106
"Accounting in Europe","RAIEI","1744-9499","Institutional",7,7,2,"USD",174
"Acta Agri Scand A Animal Sci","SAGAHI","0906-4702","Institutional",60,60,4,"EUR",289
"Acta Agri Scand A Animal Sci","SAGAHI","0906-4702","Institutional",60,60,4,"GBP - UK",218
"Acta Agri Scand A Animal Sci","SAGAHI","0906-4702","Institutional",60,60,4,"USD",362
"Acta Agri Scand A Animal Sci","SAGAI","1651-1972","Institutional",60,60,4,"EUR",274
"Acta Agri Scand A Animal Sci","SAGAI","1651-1972","Institutional",60,60,4,"GBP - UK",207
"Acta Agri Scand A Animal Sci","SAGAI","1651-1972","Institutional",60,60,4,"USD",345
"Acta Agricult Combined (A B and C)","SAGDPHI","9999-0954","Institutional",7,7,12,"EUR",735
"Acta Agricult Combined (A B and C)","SAGDPHI","9999-0954","Institutional",7,7,12,"GBP - UK",556
"Acta Agricult Combined (A B and C)","SAGDPHI","9999-0954","Institutional",7,7,12,"USD",922
"Acta Agricult Combined (A B and C)","SAGDPI","9999-0955","Institutional",7,7,12,"EUR",698
"Acta Agricult Combined (A B and C)","SAGDPI","9999-0955","Institutional",7,7,12,"GBP - UK",528
"Acta Agricult Combined (A B and C)","SAGDPI","9999-0955","Institutional",7,7,12,"USD",876
"Acta Agriculturae Scandinavica Section B  Plant Soil Science","SAGBHI","0906-4710","Institutional",60,60,6,"EUR",409
"Acta Agriculturae Scandinavica Section B  Plant Soil Science","SAGBHI","0906-4710","Institutional",60,60,6,"GBP - UK",311
"Acta Agriculturae Scandinavica Section B  Plant Soil Science","SAGBHI","0906-4710","Institutional",60,60,6,"USD",511
"Acta Agriculturae Scandinavica Section B  Plant Soil Science","SAGBI","1651-1913","Institutional",60,60,6,"EUR",388
"Acta Agriculturae Scandinavica Section B  Plant Soil Science","SAGBI","1651-1913","Institutional",60,60,6,"GBP - UK",295
"Acta Agriculturae Scandinavica Section B  Plant Soil Science","SAGBI","1651-1913","Institutional",60,60,6,"USD",485
"Acta Borealia","SABOHI","0800-3831","Institutional",27,27,2,"EUR",79
"Acta Borealia","SABOHI","0800-3831","Institutional",27,27,2,"GBP - UK",60
"Acta Borealia","SABOHI","0800-3831","Institutional",27,27,2,"USD",101
"Acta Borealia","SABOI","1503-111X","Institutional",27,27,2,"EUR",75
"Acta Borealia","SABOI","1503-111X","Institutional",27,27,2,"GBP - UK",57
"Acta Borealia","SABOI","1503-111X","Institutional",27,27,2,"USD",96
"Acta Linguistica Hafniensia: International Journal of Linguistics","SALHHI","0374-0463","Institutional",42,42,1,"USD",324
"Acta Linguistica Hafniensia: International Journal of Linguistics","SALHHI","0374-0463","Institutional",42,42,1,"GBP - UK",180
"Acta Linguistica Hafniensia: International Journal of Linguistics ","SALHHI","0374-0463","Institutional",42,42,1,"EUR",225
"Acta Linguistica Hafniensia: International Journal of Linguistics Online","SALHI","1949-0763","Institutional",42,42,1,"USD",308
"Acta Linguistica Hafniensia: International Journal of Linguistics Online","SALHI","1949-0763","Institutional",42,42,1,"GBP - UK",171
"Acta Linguistica Hafniensia: International Journal of Linguistics Online","SALHI","1949-0763","Institutional",42,42,1,"EUR",214
"Action Learning: Research & Practice","CALRHI","1476-7333","Institutional",7,7,3,"EUR",274
"Action Learning: Research & Practice","CALRHI","1476-7333","Institutional",7,7,3,"GBP - UK",206
"Action Learning: Research & Practice","CALRHI","1476-7333","Institutional",7,7,3,"USD",344
"Action Learning: Research & Practice","CALRI","1476-7341","Institutional",7,7,3,"EUR",261
"Action Learning: Research & Practice","CALRI","1476-7341","Institutional",7,7,3,"GBP - UK",196
"Action Learning: Research & Practice","CALRI","1476-7341","Institutional",7,7,3,"USD",326
"Activities, Adaptation & Aging","WAAAHI","0192-4788","Institutional",34,34,4,"EUR",737
"Activities, Adaptation & Aging","WAAAHI","0192-4788","Institutional",34,34,4,"GBP - UK",567
"Activities, Adaptation & Aging","WAAAHI","0192-4788","Institutional",34,34,4,"USD",740
"Activities, Adaptation & Aging","WAAAI","1544-4368","Institutional",34,34,4,"EUR",700
"Activities, Adaptation & Aging","WAAAI","1544-4368","Institutional",34,34,4,"GBP - UK",539
"Activities, Adaptation & Aging","WAAAI","1544-4368","Institutional",34,34,4,"USD",703
"Adelphi Series","TADLHI","1944-5571","Institutional",50,50,8,"EUR",673
"Adelphi Series","TADLHI","1944-5571","Institutional",50,50,8,"GBP - UK",457
"Adelphi Series","TADLHI","1944-5571","Institutional",50,50,8,"USD",803
"Adelphi Series","TADLI","1944-558X","Institutional",50,50,8,"EUR",640
"Adelphi Series","TADLI","1944-558X","Institutional",50,50,8,"GBP - UK",433
"Adelphi Series","TADLI","1944-558X","Institutional",50,50,8,"USD",763
"Adelphi Series","TADLHI","1944-5571","Institutional",50,50,8,"USD - ROW",845
"Adelphi Series","TADLI","1944-558X","Institutional",50,50,8,"USD - ROW",803
"Administration In Social Work","WASWHI","0364-3107","Institutional",34,34,5,"EUR",896
"Administration In Social Work","WASWHI","0364-3107","Institutional",34,34,5,"GBP - UK",690
