,,,,,,,,,,,,
,,"WILEY 2010 JOURNAL PRICE LIST",,,,,,,,,,
"Journal Group Code","Journal Title
Acronym
Print ISSN
Online ISSN
Vol & issues","Journal Code","Media","USA $","Canada/Mex $","Rest of Americas $","UK GBP","Europe EUR","Rest of World $","Exception Rate $","Exception Currency","Exception region"
"A",,,,,"A",,,,,,,
"ABAC","ABACUS",,,,,,,,,,,
,"ABAC",,,,,,,,,,,
,"0001-3072","ABAC/C","P + E",580,580,580,405,464,795,493.9,"USD","Australia"
,"1467-6281",,,,,,,,,449,"USD","New Zealand"
,"Vol 46, 4 Issues","ABAC/E","Elec",527,527,527,368,421,722,448.8,"USD","Australia"
,,,,,,,,,,408,"USD","New Zealand"
,,"ABAC","Print",527,527,527,368,421,722,448.8,"USD","Australia"
,,,,,,,,,,408,"USD","New Zealand"
,"Australia prices inclusive of GST.",,,,,,,,,,,
"ABC","ABOUT CAMPUS",,,,,,,,,,,
,"ABC",,,,,,,,,,,
,"1086-4822","ABC/C","P + E",215,275,326,168,211,326,,,
,"1536-0687","ABC/E","Elec",195,195,195,100,127,195,,,
,"Vol 14-15, 6 Issues","ABC","Print",195,255,306,157,199,306,,,
"ACEM","ACADEMIC EMERGENCY MEDICINE",,,,,,,,,,,
,"ACEM",,,,,,,,,,,
,"1069-6563","ACEM/C","P + E",285,285,285,150,190,293,,,
,"1553-2712","ACEM/E","Elec",256,256,256,135,171,264,,,
,"Vol 17, 12 Issues",,,,,,,,,,,
,"Not available in print only.",,,,,,,,,,,
"ACFI","ACCOUNTING & FINANCE",,,,,,,,,,,
,"ACFI",,,,,,,,,,,
,"0810-5391","ACFI/C","P + E",539,539,539,374,475,733,438.9,"USD","Australia"
,"1467-629X",,,,,,,,,399,"USD","New Zealand"
,"Vol 50, 4 Issues","ACFI/E","Elec",489,489,489,340,432,666,398.2,"USD","Australia"
,,,,,,,,,,362,"USD","New Zealand"
,,"ACFI","Print",489,489,489,340,432,666,398.2,"USD","Australia"
,,,,,,,,,,362,"USD","New Zealand"
,"Australia prices inclusive of GST.",,,,,,,,,,,
"-","ACCOUNTING MANAGEMENT PACKAGE",,,,,,,,,,,
,,"MJFAAM/C","P + E",2561,2561,2561,1292,1639,2995,,,
,,"MJFAAM/E","Elec",2328,2328,2328,1174,1491,2723,,,
,,"MJFAAM/P","Print",2328,2328,2328,1174,1491,2723,,,
," Includes Financial Accountability & Management & Journal of Business Finance & Accounting.",,,,,,,,,,,
,"ACCOUNTING PERSPECTIVES",,,,,,,,,,,
,"APR",,,"SEE CONTEMPORARY ACCOUNTING PACKAGE",,,,,,,,
,"1911-382X",,,,,,,,,,,
,"1911-3838",,,,,,,,,,,
,"Vol 9, 4 Issues",,,,,,,,,,,
"AAS","ACTA ANAESTHESIOLOGICA SCANDINAVICA",,,,,,,,,,,
,"AAS",,,,,,,,,,,
,"0001-5172","AAS/C","P + E",583,583,583,346,440,680,,,
,"1399-6576","AAS/E","Elec",530,530,530,315,400,617,,,
,"Vol 54, 10 Issues","AAS","Print",530,530,530,315,400,617,,,
"AAR","ACTA ARCHAEOLOGICA",,,,,,,,,,,
,"AAR",,,,,,,,,,,
,"0065-101X","AAR/C","P + E",168,168,168,102,128,197,,,
,"1600-0390","AAR/E","Elec",152,152,152,92,116,179,,,
,"Vol 81, 2 Issues","AAR","Print",152,152,152,92,116,179,,,
"-","ACTA CRYSTALLOGRAPHICA PACKAGE - AYA/AYB/AYC",,,,,,,,,,,
,,"MJ3AYA/C","P + E",3581,3581,3581,2128,2703,3581,,,
,,"MJ3AYA/E","Elec",3255,3255,3255,1934,2457,3255,,,
,,"MJ3AYA/P","Print",3255,3255,3255,1934,2457,3255,,,
," Includes Acta Crystallographica Section a & Acta Crystallographica Section B & Acta Crystallographica Section C.Also available online at http:/journals.iucr.org/",,,,,,,,,,,
"-","ACTA CRYSTALLOGRAPHICA PACKAGE - AYA/AYB/AYC/ AYD/AYF2",,,,,,,,,,,
,,"MJAYA/C","P + E",4822,4822,4822,2865,3639,4822,,,
,,"MJAYA/E","Elec",4384,4384,4384,2605,3308,4384,,,
,,"MJAYA/P","Print",4384,4384,4384,2605,3308,4384,,,
," Includes Acta Crystallographica Section a & Acta Crystallographica Section B & Acta Crystallographica Section C & Acta Crystallographica Section D & Acta",,,,,,,,,,,
,"Crystallographica Section F (Electronic).Also available online at http:/journals.iucr.org/",,,,,,,,,,,
"-","ACTA CRYSTALLOGRAPHICA PACKAGE - AYB/AYC",,,,,,,,,,,
,,"MJAYB/C","P + E",2852,2852,2852,1695,2152,2852,,,
,,"MJAYB/E","Elec",2593,2593,2593,1541,1957,2593,,,
,,"MJAYB/P","Print",2588,2588,2588,1541,1957,2588,,,
," Includes Acta Crystallographica Section B & Acta Crystallographica Section C.Also available online at http:/journals.iucr.org/",,,,,,,,,,,
"-","ACTA CRYSTALLOGRAPHICA PACKAGE - AYD/AYF",,,,,,,,,,,
,,"MJAYD/C","P + E",1306,1306,1306,777,986,1306,,,
